DATE;STORE;ITEM;STOCK
2018-01-08;L613;2108796;6.0
2018-01-08;L612;2108796;12.0
2018-01-08;L611;2108796;12.0
2018-01-08;L609;2108796;6.0
2018-01-08;L608;2108796;6.0
2018-01-08;L606;2108796;12.0
2018-01-08;L605;2108796;6.0
2018-01-08;L601;2108796;6.0
2018-01-08;L600;2108796;12.0
2018-01-08;L599;2108796;6.0
2018-01-08;L598;2108796;6.0
2018-01-08;L594;2108796;6.0
2018-01-08;L593;2108796;6.0
2018-01-08;L590;2108796;6.0
2018-01-08;L587;2108796;12.0
2018-01-08;L586;2108796;6.0
2018-01-08;L584;2108796;6.0
2018-01-08;L582;2108796;6.0
2018-01-08;L581;2108796;12.0
2018-01-08;L580;2108796;6.0
2018-01-08;L579;2108796;6.0
2018-01-08;L578;2108796;12.0
2018-01-08;L574;2108796;6.0
2018-01-08;L573;2108796;6.0
2018-01-08;L572;2108796;24.0
2018-01-08;L571;2108796;6.0
2018-01-08;L569;2108796;6.0
2018-01-08;L567;2108796;18.0
2018-01-08;L565;2108796;6.0
2018-01-08;L562;2108796;12.0
2018-01-08;L391;2108796;
2018-01-08;5002;2108796;6.0
2018-01-08;1335;2108796;
2018-01-08;1328;2108796;6.0
2018-01-08;1326;2108796;6.0
2018-01-08;1322;2108796;6.0
2018-01-08;1321;2108796;
2018-01-08;1320;2108796;
2018-01-08;1319;2108796;6.0
2018-01-08;1309;2108796;
2018-01-08;1304;2108796;6.0
2018-01-08;1300;2108796;6.0
2018-01-08;1299;2108796;
2018-01-08;1298;2108796;6.0
2018-01-08;1295;2108796;6.0
2018-01-08;1289;2108796;30.0
2018-01-08;1285;2108796;12.0
2018-01-08;1280;2108796;
2018-01-08;1219;2108796;12.0
2018-01-08;1216;2108796;12.0
2018-01-08;L738;4272028;2.0
2018-01-08;L653;4272028;6.0
2018-01-08;L646;4272028;2.0
2018-01-08;L586;4272028;2.0
2018-01-08;L572;4272028;2.0
2018-01-08;L567;4272028;2.0
2018-01-08;5067;4268848;
2018-01-08;L391;4272028;2.0
2018-01-08;1328;4272028;2.0
2018-01-08;1319;4272028;2.0
2018-01-08;1318;4272028;2.0
2018-01-08;1309;4272028;2.0
2018-01-08;1304;4272028;2.0
2018-01-08;1300;4272028;2.0
2018-01-08;1299;4272028;6.0
2018-01-08;1298;4272028;2.0
2018-01-08;1280;4272028;2.0
2018-01-08;1222;4272028;2.0
2018-01-08;1219;4272028;6.0
2018-01-08;1216;4272028;2.0
2018-01-09;L931;2109433;1.0
2018-01-09;5006;2109433;1.0
2018-01-09;L931;2105710;6.0
